year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,0.0,-0.0014999999999999458,0.21102617632731602,-0.046011781665048934,-0.0206285885743831,0.03921522758905893,-0.003218235371155509,0.021663057307343747,-0.04497265484281121,0.029908066567275737,0.03089461991552711,-0.06162063647106386,0.1376594992584914
2017,0.011297990827292548,0.03669068323367575,-0.0042909343250876475,0.020843709226674,0.017094451166170144,0.08129227452608134,0.03666746862334325,0.02010278856526937,0.0370514993951645,0.06594457004948207,-0.002605698635212428,0.0016684798473809437,0.36878010415224005
2018,0.0020551516240416845,0.006978011337126944,0.02419947562597513,-0.01866820845019912,0.009419990963988933,-0.06983191663962107,-0.012566029715414984,-0.06446137909225524,0.03141495609804035,-0.14443308306394487,0.0021676801291072856,-0.01317308218591462,-0.23231344000911047
2019,0.03980688389675224,0.14366334636750078,0.09258954413147147,0.023333616111437028,-0.0469639588014118,0.08675325194591577,0.05956406126893099,0.016913825136392946,0.032626185619132775,0.04058812634909237,0.02621717707613591,0.0775823322401501,0.7631471423573533
2020,0.057173616546466244,0.028371573751797552,-0.10966904146964773,0.19086069238387426,0.014863628548754892,0.15875508840075514,0.1472747599700437,-0.04510850328765981,-0.009773677022769989,0.06268867901162745,0.031874232842222794,0.11483343478269803,0.797657272936179
2021,0.021819045071747034,-0.01649872259056384,-0.04145071506877629,0.13041144922742487,0.042599992841556134,0.054753867257614885,-0.01900386975985302,0.07089027104180401,-0.007612479312308351,0.006253854666914638,0.00997962709146405,-0.050504230406177686,0.20469061393596277
2022,-0.12676903301818032,0.0701956465596909,-0.1205475859094558,-0.07532827355647198,0.12102199228942867,0.10296520321533942,0.0007614445400869752,-0.02193744753900362,-0.0778391015939478,-0.03906723832334169,0.03638902571942437,-0.04134144245273397,-0.19024836150387647
2023,0.08746312002564371,0.013813620573290386,0.02237363278932225,-0.017396788584391976,-0.01659961740080973,0.04185534986472428,0.007019528167244937,-0.07699972085360318,0.006945311263410581,-0.029607281395724327,-0.011535305459055456,0.024947315514325608,0.04412890814113979
2024,-0.10710364292226604,0.1616112624346433,0.028713272480459295,0.00284844934056383,0.015564529380398762,0.0032337745568167264,,,,,,,0.0901874646692804
